course_id,prerequisite_course_id,minimum_grade
CS102,CS101,C
CS201,CS101,C
CS202,CS101,C
CS203,CS201,C
CS204,CS101,C
MATH201,MATH101,C
CS301,CS201,C
CS302,CS201,C
CS302,MATH201,C
CS303,CS302,C
CS304,CS102,C
CS305,CS204,C
CS306,CS203,C
CS307,CS201,C
CS307,MATH201,C
CS308,CS301,C
CS401,CS302,B
CS402,CS302,C
CS403,CS302,C
CS404,CS301,C
CS405,CS305,C
CS406,CS305,C
CS407,CS308,C
CS408,CS203,C
CS409,CS304,C
CS410,CS102,C
CS411,CS301,C
CS411,CS307,C
CS412,CS307,C
CS413,CS301,C
CS414,CS301,C
CS415,CS306,C
CS415,CS305,C
CS416,CS308,C
CS417,CS306,C
CS418,CS307,C
CS420,CS304,C
CS421,CS304,C
CS422,CS303,B
CS423,CS302,C
CS424,CS414,C
CS425,CS306,C
CS426,CS308,C
CS428,CS305,C
CS429,CS306,C
