course_id,day,start_time,end_time,semester,room
CS101,Monday,08:30,10:00,1,Hall-A
CS102,Tuesday,09:00,10:30,2,Hall-B
MATH101,Wednesday,08:30,10:00,1,Hall-C
MATH201,Thursday,09:00,10:30,2,Hall-C
CS201,Monday,10:00,11:30,3,Lab-1
CS202,Wednesday,10:00,11:30,3,Lab-2
CS203,Tuesday,11:00,12:30,4,Lab-1
CS204,Thursday,11:00,12:30,4,Lab-3
CS301,Monday,13:00,14:30,5,Room-201
CS302,Monday,10:00,11:30,5,Room-202
CS304,Monday,10:30,12:00,5,Room-203
CS305,Tuesday,10:00,11:30,5,Room-204
CS307,Tuesday,09:30,11:00,5,Room-205
CS416,Wednesday,13:00,14:30,5,Room-201
CS419,Thursday,13:00,14:30,5,Room-202
CS420,Friday,10:00,11:30,5,Room-203
CS427,Friday,13:00,14:30,5,Room-204
CS303,Monday,14:30,16:00,6,Room-301
CS306,Tuesday,13:00,14:30,6,Room-302
CS308,Wednesday,10:00,11:30,6,Room-303
CS404,Thursday,10:00,11:30,6,Room-304
CS405,Friday,09:00,10:30,6,Room-305
CS407,Wednesday,14:30,16:00,6,Room-301
CS409,Tuesday,15:00,16:30,6,Room-302
CS410,Thursday,14:00,15:30,6,Room-303
CS412,Friday,11:00,12:30,6,Room-304
CS413,Monday,11:30,13:00,6,Room-305
CS418,Wednesday,11:30,13:00,6,Room-302
CS421,Thursday,15:30,17:00,6,Room-301
CS426,Friday,14:00,15:30,6,Room-303
CS428,Tuesday,08:30,10:00,6,Room-304
CS401,Wednesday,14:00,15:30,7,Lab-AI-1
CS408,Wednesday,14:30,16:00,7,Lab-SYS-1
CS411,Thursday,11:00,12:30,7,Lab-DS-1
CS414,Thursday,11:00,12:30,7,Lab-DB-1
CS402,Monday,09:00,10:30,7,Room-401
CS403,Tuesday,14:00,15:30,7,Room-402
CS406,Friday,10:00,11:30,7,Lab-SEC-1
CS415,Tuesday,10:30,12:00,7,Room-403
CS417,Thursday,13:30,15:00,7,Lab-SYS-2
CS423,Wednesday,09:00,10:30,7,Room-404
CS424,Friday,13:00,14:30,7,Lab-DB-2
CS425,Monday,13:30,15:00,7,Room-405
CS429,Thursday,15:00,16:30,7,Room-406
CS422,Monday,16:00,17:30,8,Lab-AI-2
