student_id,baseline_course,prototype_course,baseline_prerequisite_conflict,prototype_prerequisite_conflict,baseline_schedule_conflict,prototype_schedule_conflict,baseline_career_score,prototype_career_score,baseline_quality_score,prototype_quality_score
S101,CS419;CS411;CS409,CS302;CS301;CS307,2,0,1,0,56.0,93.3,40.1,98.0
S102,CS411;CS409;CS304,CS301;CS304;CS427,2,0,1,0,73.0,71.0,45.2,91.3
S103,CS409;CS304;CS410,CS302;CS301;CS304,1,0,1,1,40.0,59.3,48.7,72.8
S104,CS304;CS410;CS401,CS305;CS419;CS427,1,0,1,0,40.0,74.7,48.7,92.4
S105,CS410;CS401;CS406,CS305;CS419;CS301,3,0,1,0,40.0,40.0,12.0,82.0
S106,CS401;CS406;CS302,CS301;CS427;CS307,2,0,1,0,40.0,93.0,35.3,97.9
S107,CS406;CS302;CS419,CS304;CS419;CS427,2,0,1,0,40.0,59.3,45.3,87.8
S108,CS302;CS419;CS411,CS301;CS419;CS427,2,0,1,0,40.0,59.7,45.3,87.9
S109,CS419;CS411;CS409,CS419;CS427,2,0,1,0,56.0,40.0,40.1,82.0
S110,CS419;CS411;CS409,CS419;CS427,2,0,1,1,40.0,40.0,25.3,62.0
S111,CS411;CS409;CS304,CS308;CS410;CS413,2,0,1,0,73.0,59.3,45.2,87.8
S112,CS409;CS304;CS410,CS303;CS401;CS402,3,0,1,1,40.0,97.0,32.0,79.1
S113,CS304;CS410;CS401,CS417;CS408;CS429,3,0,1,1,40.0,95.0,22.0,68.5
S114,CS410;CS401;CS406,CS405;CS428;CS406,2,0,1,1,59.7,95.7,41.2,73.7
S115,CS401;CS406;CS302,CS413;CS418;CS412,2,0,1,0,40.0,91.0,25.3,97.3
S116,CS406;CS419;CS411,CS401;CS423;CS402,2,0,1,0,40.0,94.3,45.3,98.3
S117,CS419;CS411;CS409,CS411;CS401;CS414,1,0,1,1,56.0,74.0,53.5,77.2
S118,CS419;CS411;CS409,CS414;CS404;CS413,2,0,1,1,40.0,94.7,35.3,68.4
S119,CS411;CS409;CS304,CS301;CS304;CS419,2,0,1,1,73.0,71.0,35.2,81.3
S120,CS411;CS409;CS304,CS304;CS410;CS419,2,0,1,1,73.0,55.0,35.2,56.5
